Name,Description,stats,gold,tags,plaintext
Rod of Ages,"<stats>+300 Health<br><mana>+300 Mana</mana><br>+60 Ability Power</stats><br><br><passive>Passive:</passive> Grants +20 Health, +10 Mana, and +4 Ability Power per stack (max +200 Health, +100 Mana, and +40 Ability Power). Grants 1 stack per minute (max 10 stacks).<br><unique>UNIQUE Passive - Eternity:</unique> 15% of damage taken from champions is gained as Mana. Spending Mana restores 20% of the cost as Health, up to 25 per spell cast.","{'FlatHPPoolMod': 300, 'FlatMPPoolMod': 300, 'FlatMagicDamageMod': 60}","{'base': 650, 'purchasable': True, 'total': 2600, 'sell': 1820}","['Health', 'HealthRegen', 'Mana', 'ManaRegen', 'SpellDamage']","Greatly increases Health, Mana, and Ability Power"
,,,,,
Chalice of Harmony,<stats>+30 Magic Resist<br><mana>+50% Base Mana Regen </mana></stats><br><br><unique>UNIQUE Passive - Harmony:</unique> Grants bonus % Base Health Regen equal to your bonus % Base Mana Regen.,{'FlatSpellBlockMod': 30},"{'base': 100, 'purchasable': True, 'total': 800, 'sell': 560}","['SpellBlock', 'HealthRegen', 'ManaRegen']",Increases Mana and Health Regeneration
,,,,,
Rod of Ages (Quick Charge),"<stats>+300 Health<br><mana>+300 Mana</mana><br>+60 Ability Power</stats><br><br><passive>Passive:</passive> Grants +20 Health, +10 Mana, and +4 Ability Power per stack (max +200 Health, +100 Mana, and +40 Ability Power). Grants 1 stack per 40 seconds (max 10 stacks).<br><unique>UNIQUE Passive - Eternity:</unique> 15% of damage taken from champions is gained as Mana. Spending Mana restores 20% of the cost as Health, up to 25 per spell cast.","{'FlatHPPoolMod': 300, 'FlatMPPoolMod': 300, 'FlatMagicDamageMod': 60}","{'base': 650, 'purchasable': True, 'total': 2600, 'sell': 1820}","['Health', 'HealthRegen', 'Mana', 'ManaRegen', 'SpellDamage']","Greatly increases Health, Mana, and Ability Power"
,,,,,
Hextech GLP-800,"<stats>+80 Ability Power<br><mana>+600 Mana</mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Haste:</unique> This item gains an additional 10% Cooldown Reduction.<br><unique>UNIQUE Active - Frost Bolt:</unique> Fires a spray of icy bolts that explode on first unit hit, dealing <scaleLevel>100 - 200</scaleLevel> (+20% of your Ability Power) magic damage to all enemies hit. (40 second cooldown, shared with other <font color='#9999FF'><a href='itembolt'>Hextech</a></font> items).<br><br> Enemies hit are slowed by 65% decaying over 2 second.","{'FlatMPPoolMod': 600, 'FlatMagicDamageMod': 80}","{'base': 450, 'purchasable': True, 'total': 2800, 'sell': 1960}","['SpellDamage', 'Mana', 'Active', 'CooldownReduction', 'Slow']",Activate to fire icy bolts to slow enemies
,,,,,
Infinity Edge,<stats>+80 Attack Damage<br>+25% Critical Strike Chance</stats><br><br><unique>UNIQUE Passive:</unique> Critical strikes deal 225% damage instead of 200%.,"{'FlatPhysicalDamageMod': 80, 'FlatCritChanceMod': 0.25}","{'base': 425, 'purchasable': True, 'total': 3400, 'sell': 2380}","['CriticalStrike', 'Damage']",Massively enhances critical strikes
,,,,,
Mortal Reminder,<stats>+45 Attack Damage</stats><br><br><unique>UNIQUE Passive - Last Whisper:</unique> +25% <a href='FlatArmorPen'>Armor Penetration</a><br><unique>UNIQUE Passive - Executioner:</unique> Physical damage inflicts <a href='GrievousWounds'>Grievous Wounds</a> on enemy champions for 5 seconds.,{'FlatPhysicalDamageMod': 45},"{'base': 550, 'purchasable': True, 'total': 2800, 'sell': 1960}","['ArmorPenetration', 'Damage']",Overcomes enemies with high Health recovery and Armor
,,,,,
Last Whisper,<stats>+20 Attack Damage</stats><br><br><unique>UNIQUE Passive - Last Whisper:</unique> +20% <a href='FlatArmorPen'>Armor Penetration</a>,{'FlatPhysicalDamageMod': 20},"{'base': 750, 'purchasable': True, 'total': 1450, 'sell': 1015}","['ArmorPenetration', 'Damage']",Overcomes enemies with high Armor
,,,,,
Lord Dominik's Regards,<stats>+45 Attack Damage</stats><br><br><unique>UNIQUE Passive - Last Whisper:</unique> +35% <a href='FlatArmorPen'>Armor Penetration</a>,{'FlatPhysicalDamageMod': 45},"{'base': 475, 'purchasable': True, 'total': 2800, 'sell': 1960}","['Damage', 'ArmorPenetration']",Overcomes enemies with high health and armor
,,,,,
Seraph's Embrace,<stats>+50 Ability Power<br><mana>+1400 Mana</mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Haste:</unique> This item gains an additional 10% Cooldown Reduction.<br><mana><unique>UNIQUE Passive - Awe:</unique> Grants Ability Power equal to 3% of maximum Mana. Refunds 25% of Mana spent.</mana><br><active>UNIQUE Active - Mana Shield:</active> Consumes 15% of current Mana to grant a shield for 2 seconds that absorbs damage equal to 150 plus the amount of Mana consumed (120 second cooldown).<br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,"{'FlatMPPoolMod': 1400, 'FlatMagicDamageMod': 50}","{'base': 3200, 'purchasable': False, 'total': 3200, 'sell': 2240}",['Active'],
,,,,,
Mejai's Soulstealer,"<stats>+20 Ability Power<br><mana>+200 Mana</mana></stats><br><br><unique>UNIQUE Passive - Dread:</unique> Grants +5 Ability Power per Glory. Grants 10% Movement Speed if you have at least 10 Glory.<br><unique>UNIQUE Passive - Do or Die:</unique> Grants 4 Glory for a champion kill or 2 Glory for an assist, up to 25 Glory total. Lose 10 stacks of Glory upon dying.","{'FlatMPPoolMod': 200, 'FlatMagicDamageMod': 20}","{'base': 1050, 'purchasable': True, 'total': 1400, 'sell': 980}","['SpellDamage', 'Mana']",Grants Ability Power for kills and assists
,,,,,
Muramana,<stats>+35 Attack Damage<br><mana>+1000 Mana</mana></stats><br><br><mana><unique>UNIQUE Passive - Awe:</unique> Grants bonus Attack Damage equal to 2% of maximum Mana. Refunds 15% of Mana spent.</mana><br><mana><unique>UNIQUE Passive - Shock:</unique> Single target spells and attacks (on hit) on <font color='#FFFFFF'>Champions</font> consume 3% of current Mana to deal bonus physical damage equal to twice the amount of Mana consumed.<br><br>This effect only activates while you have greater than 20% maximum Mana.</mana><br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,"{'FlatPhysicalDamageMod': 35, 'FlatMPPoolMod': 1000}","{'base': 2400, 'purchasable': False, 'total': 2400, 'sell': 1680}",['OnHit'],
,,,,,
Muramana,<stats>+35 Attack Damage<br><mana>+1000 Mana</mana></stats><br><br><mana><unique>UNIQUE Passive - Awe:</unique> Grants bonus Attack Damage equal to 2% of maximum Mana. Refunds 15% of Mana spent.</mana><br><mana><unique>UNIQUE Passive - Shock:</unique> Single target spells and attacks (on hit) on <font color='#FFFFFF'>Champions</font> consume 3% of current Mana to deal bonus physical damage equal to twice the amount of Mana consumed.<br><br>This effect only activates while you have greater than 20% maximum Mana.</mana><br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,"{'FlatPhysicalDamageMod': 35, 'FlatMPPoolMod': 1000}","{'base': 2400, 'purchasable': False, 'total': 2400, 'sell': 1680}",['OnHit'],
,,,,,
Phage,<stats>+200 Health<br>+15 Attack Damage</stats><br><br><unique>UNIQUE Passive - Rage:</unique> Basic attacks grant 20 Movement Speed for 2 seconds. Kills grant 60 Movement Speed instead. This Movement Speed bonus is halved for ranged champions.,"{'FlatPhysicalDamageMod': 15, 'FlatHPPoolMod': 200}","{'base': 500, 'purchasable': True, 'total': 1250, 'sell': 875}","['Damage', 'Health', 'NonbootsMovement', 'OnHit']",Attacks and kills give a small burst of speed
,,,,,
Phantom Dancer,"<stats>+30% Attack Speed<br>+25% Critical Strike Chance<br>+5% Movement Speed</stats><br><br><unique>UNIQUE Passive - Spectral Waltz:</unique> Basic attacking a champion grants ghosting and 7% Movement Speed for 2 seconds.<br><unique>UNIQUE Passive - Lifeline:</unique> If you would take damage that would reduce your Health below 30%, gain a shield that absorbs up to 240 - 600 damage for 2 seconds. (90 second cooldown)","{'FlatCritChanceMod': 0.25, 'PercentMovementSpeedMod': 0.05, 'PercentAttackSpeedMod': 0.3}","{'base': 900, 'purchasable': True, 'total': 2600, 'sell': 1820}","['AttackSpeed', 'CriticalStrike', 'NonbootsMovement']",Move faster while attacking enemies and gain a shield when on low health.
,,,,,
Ninja Tabi,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><stats>+20 Armor</stats><br><br><unique>UNIQUE Passive:</unique> Blocks 12% of the damage from basic attacks.<br><unique>UNIQUE Passive - Enhanced Movement:</unique> +45 Movement Speed,"{'FlatMovementSpeedMod': 45, 'FlatArmorMod': 20}","{'base': 500, 'purchasable': True, 'total': 1100, 'sell': 770}","['Armor', 'Boots']",Enhances Movement Speed and reduces incoming basic attack damage
,,,,,
Seraph's Embrace,<stats>+50 Ability Power<br><mana>+1400 Mana</mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Haste:</unique> This item gains an additional 10% Cooldown Reduction.<br><mana><unique>UNIQUE Passive - Awe:</unique> Grants Ability Power equal to 3% of maximum Mana. Refunds 25% of Mana spent.</mana><br><active>UNIQUE Active - Mana Shield:</active> Consumes 15% of current Mana to grant a shield for 2 seconds that absorbs damage equal to 150 plus the amount of Mana consumed (120 second cooldown).<br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,"{'FlatMPPoolMod': 1400, 'FlatMagicDamageMod': 50}","{'base': 3200, 'purchasable': False, 'total': 3200, 'sell': 2240}",['Active'],
,,,,,
Zeke's Convergence,"<stats>+60 Armor<br>+30 Magic Resist<br><mana>+250 Mana</mana><br>+10% Cooldown Reduction</stats><br><mainText><active>UNIQUE Active - Conduit:</active> Bind to an ally without an existing Conduit.<br><unique>UNIQUE Passive:</unique> Casting your ultimate near your ally surrounds you with a frost storm and ignites your ally's basic attacks for 10 seconds. Enemies inside your frost storm are slowed by 20% and your ally's attacks burn their target for 30% bonus magic damage over 2 seconds (45 second cooldown).<br><br><unlockedPassive>Frostfire Covenant:</unlockedPassive> Your frost storm ignites when it slows a burning enemy, dealing 40 magic damage per second and slowing by 40% instead for 3 seconds.</mainText><br><br><rules>(Champions can only be linked by one Zeke's Convergence at a time.)</rules>","{'FlatSpellBlockMod': 30, 'FlatMPPoolMod': 250, 'FlatArmorMod': 60}","{'base': 250, 'purchasable': True, 'total': 2250, 'sell': 1575}","['SpellBlock', 'Armor', 'Mana', 'Aura', 'Active', 'CooldownReduction']",Grants you and your ally bonuses when you cast your ultimate.
,,,,,
Jaurim's Fist,<stats>+15 Attack Damage<br>+200 Health</stats><br><br><unique>UNIQUE Passive:</unique> Killing a unit grants 5 maximum Health. This bonus stacks up to 20 times.,"{'FlatPhysicalDamageMod': 15, 'FlatHPPoolMod': 200}","{'base': 450, 'purchasable': True, 'total': 1200, 'sell': 840}","['Health', 'Damage']",Attack Damage and stacking Health on Unit Kill
,,,,,
Sterak's Gage,"<stats>+450 Health</stats><br><br><unique>UNIQUE Passive - Giant Strength:</unique> Gain 50% of your Base Attack Damage as Bonus Attack Damage <br><unique>UNIQUE Passive - Lifeline:</unique> Upon taking at least 400 to 1800 damage (based on level) within 5 seconds, gain a shield for 75% of your bonus Health. After 0.75 seconds, the shield decays over 3 seconds (60 second cooldown).<br><br><unlockedPassive>Sterak's Fury:</unlockedPassive> When <i>Lifeline</i> triggers, grow in size and strength, gaining +30% Tenacity for 8 seconds.",{'FlatHPPoolMod': 450},"{'base': 725, 'purchasable': True, 'total': 3200, 'sell': 2240}","['Health', 'Damage']",Shields against large bursts of damage
,,,,,
Sheen,"<stats><mana>+250 Mana</mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Spellblade:</unique> After using an ability, the next basic attack deals bonus physical damage equal to 100% base Attack Damage on hit (1.5 second cooldown).",{'FlatMPPoolMod': 250},"{'base': 700, 'purchasable': True, 'total': 1050, 'sell': 735}","['Mana', 'CooldownReduction']",Grants a bonus to next attack after spell cast
,,,,,
Spirit Visage,<stats>+450 Health<br>+55 Magic Resist<br>+100% Base Health Regen <br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive:</unique> Increases all healing received by 30%.,"{'FlatHPPoolMod': 450, 'FlatSpellBlockMod': 55}","{'base': 800, 'purchasable': True, 'total': 2800, 'sell': 1960}","['CooldownReduction', 'Health', 'HealthRegen', 'SpellBlock']",Increases Health and healing effects
,,,,,
Kindlegem,<stats>+200 Health  </stats><br><br><unique>UNIQUE Passive:</unique> +10% Cooldown Reduction,{'FlatHPPoolMod': 200},"{'base': 400, 'purchasable': True, 'total': 800, 'sell': 560}","['CooldownReduction', 'Health']",Increases Health and Cooldown Reduction
,,,,,
Sunfire Cape,<stats>+425 Health<br>+60 Armor  </stats><br><br><unique>UNIQUE Passive - Immolate:</unique> Deals 25 (+1 per champion level) magic damage per second to nearby enemies. Deals 50% bonus damage to minions and monsters.,"{'FlatHPPoolMod': 425, 'FlatArmorMod': 60}","{'base': 650, 'purchasable': True, 'total': 2750, 'sell': 1925}","['Armor', 'Health']",Constantly deals damage to nearby enemies
,,,,,
Tear of the Goddess,<stats><mana>+250 Mana</mana></stats><br><br><mana><unique>UNIQUE Passive - Awe:</unique> Refunds 10% of Mana spent.<br><unique>UNIQUE Passive - Mana Charge:</unique> Grants 4 maximum Mana on Mana expenditure (up to 3 times per 12 seconds).<br><br>Caps at +750 Mana.</mana><br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,{'FlatMPPoolMod': 250},"{'base': 375, 'purchasable': True, 'total': 850, 'sell': 595}","['Mana', 'ManaRegen']",Increases maximum Mana as Mana is spent
,,,,,
Black Cleaver,"<stats>+400 Health<br>+40 Attack Damage<br>+20% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive:</unique> Dealing physical damage to an enemy champion Cleaves them, reducing their Armor by 4% for 6 seconds (stacks up to 6 times, up to 24%).<br><unique>UNIQUE Passive - Rage:</unique> Dealing physical damage grants 20 movement speed for 2 seconds. Assists on Cleaved enemy champions or kills on any unit grant 60 movement speed for 2 seconds instead. This Movement Speed is halved for ranged champions.","{'FlatPhysicalDamageMod': 40, 'FlatHPPoolMod': 400}","{'base': 950, 'purchasable': True, 'total': 3000, 'sell': 2100}","['ArmorPenetration', 'CooldownReduction', 'Damage', 'Health', 'NonbootsMovement', 'OnHit']",Dealing physical damage to enemy champions reduces their Armor
,,,,,
Bloodthirster,"<stats>+80 Attack Damage</stats><br><br><unique>UNIQUE Passive:</unique> +20% Life Steal<br><unique>UNIQUE Passive:</unique> Your basic attacks can now overheal you. Excess life is stored as a shield that can block 50-350 damage, based on champion level.<br><br>This shield decays slowly if you haven't dealt or taken damage in the last 25 seconds.",{'FlatPhysicalDamageMod': 80},"{'base': 950, 'purchasable': True, 'total': 3500, 'sell': 2450}","['Damage', 'LifeSteal']","Grants Attack Damage, Life Steal and Life Steal now overheals"
,,,,,
Tear of the Goddess (Quick Charge),<stats><mana>+250 Mana</mana></stats><br><br><mana><unique>UNIQUE Passive - Awe:</unique> Refunds 10% of Mana spent.<br><unique>UNIQUE Passive - Mana Charge:</unique> Grants 6 maximum Mana on Mana expenditure (up to 3 times per 12 seconds).<br><br>Caps at +750 Mana.</mana>,{'FlatMPPoolMod': 250},"{'base': 375, 'purchasable': True, 'total': 850, 'sell': 595}","['Mana', 'ManaRegen']",Increases maximum Mana as Mana is spent
,,,,,
Ravenous Hydra,<stats>+80 Attack Damage<br>+100% Base Health Regen <br>+12% Life Steal</stats><br><br><passive>Passive:</passive> 50% of total Life Steal applies to damage dealt by this item.<br><unique>UNIQUE Passive - Cleave:</unique> Basic attacks deal 20% to 60% of total Attack Damage as bonus physical damage to enemies near the target on hit (enemies closest to the target take the most damage).<br><active>UNIQUE Active - Crescent:</active> Deals 60% to 100% of total Attack Damage as physical damage to nearby enemy units (closest enemies take the most damage) (10 second cooldown).,"{'FlatPhysicalDamageMod': 80, 'PercentLifeStealMod': 0.12}","{'base': 400, 'purchasable': True, 'total': 3500, 'sell': 2450}","['Active', 'Damage', 'HealthRegen', 'LifeSteal', 'OnHit']","Melee attacks hit nearby enemies, dealing damage and restoring Health"
,,,,,
Thornmail,"<stats>+250 Health<br>+80 Armor</stats><br><br><unique>UNIQUE Passive - Thorns:</unique> Upon being hit by a basic attack, reflects magic damage equal to 10% of your bonus Armor plus 25, inflicting <a href='GrievousWounds'>Grievous Wounds</a> on the attacker for 3 second(s).<br><unique>UNIQUE Passive - Cold Steel:</unique> When hit by basic attacks, reduces the attacker's Attack Speed by 15% for 1 second(s).","{'FlatHPPoolMod': 250, 'FlatArmorMod': 80}","{'base': 500, 'purchasable': True, 'total': 2900, 'sell': 2030}","['Health', 'Armor', 'Slow']",Returns damage taken from basic attacks as magic damage
,,,,,
Bramble Vest,"<stats>+35 Armor</stats><br><br><unique>UNIQUE Passive - Thorns:</unique> Upon being hit by a basic attack, reflects magic damage equal to 3 plus 10% of your bonus Armor, inflicting <a href='GrievousWounds'>Grievous Wounds</a> on the attacker for 3 second(s).",{'FlatArmorMod': 35},"{'base': 400, 'purchasable': True, 'total': 1000, 'sell': 700}",['Armor'],Prevents enemies from using Life Steal against you.
,,,,,
Tiamat,<stats>+25 Attack Damage<br>+50% Base Health Regen </stats><br><br><unique>UNIQUE Passive - Cleave:</unique> Basic attacks deal 20% to 60% of total Attack Damage as bonus physical damage to enemies near the target on hit (enemies closest to the target take the most damage).<br><active>UNIQUE Active - Crescent:</active> Deals 60% to 100% of total Attack Damage as physical damage to nearby enemy units (enemies closest to the target take the most damage) (10 second cooldown).,{'FlatPhysicalDamageMod': 25},"{'base': 475, 'purchasable': True, 'total': 1325, 'sell': 928}","['HealthRegen', 'Damage', 'Active']",Melee attacks hit nearby enemies
,,,,,
Trinity Force,"<stats>+250 Health<br><mana>+250 Mana</mana><br>+25 Attack Damage<br>+40% Attack Speed<br>+20% Cooldown Reduction<br>+5% Movement Speed</stats><br><br><unique>UNIQUE Passive - Rage:</unique> Basic attacks grant 20 Movement Speed for 2 seconds. Kills grant 60 Movement Speed instead. This Movement Speed bonus is halved for ranged champions.<br><unique>UNIQUE Passive - Spellblade:</unique> After using an ability, the next basic attack deals bonus physical damage equal to 200% of base Attack Damage on hit (1.5 second cooldown).","{'FlatPhysicalDamageMod': 25, 'PercentMovementSpeedMod': 0.05, 'FlatHPPoolMod': 250, 'FlatMPPoolMod': 250, 'PercentAttackSpeedMod': 0.4}","{'base': 333, 'purchasable': True, 'total': 3733, 'sell': 2613}","['Health', 'Damage', 'AttackSpeed', 'Mana', 'CooldownReduction', 'OnHit', 'NonbootsMovement']",Tons of Damage
,,,,,
Warden's Mail,"<stats>+40 Armor</stats><br><br><unique>UNIQUE Passive - Cold Steel:</unique> When hit by basic attacks, reduces the attacker's Attack Speed by 15% for 1 seconds.",{'FlatArmorMod': 40},"{'base': 400, 'purchasable': True, 'total': 1000, 'sell': 700}","['Armor', 'Slow']",Slows Attack Speed of enemy champions when receiving basic attacks
,,,,,
Warmog's Armor,<stats>+800 Health<br>+200% Base Health Regen </stats><br><br><unique>UNIQUE Passive:</unique> +10% Cooldown Reduction<br><unique>UNIQUE Passive:</unique> Grants <unlockedPassive>Warmog's Heart</unlockedPassive> if you have at least 3000 maximum Health.<br><br><unlockedPassive>Warmog's Heart:</unlockedPassive> Restores 25% of maximum Health every 5 seconds if damage hasn't been taken within 6 seconds (3 seconds for damage from minions and monsters).,{'FlatHPPoolMod': 800},"{'base': 400, 'purchasable': True, 'total': 2850, 'sell': 1995}","['Health', 'HealthRegen', 'CooldownReduction']",Grants massive Health and Health Regen
,,,,,
Overlord's Bloodmail,"<stats>+800 Health<br>+100% Base Health Regen </stats><br><br><unique>UNIQUE Passive:</unique> Upon champion kill or assist, restores 300 Health over 5 seconds.",{'FlatHPPoolMod': 800},"{'base': 900, 'purchasable': True, 'total': 2550, 'sell': 1785}","['Health', 'HealthRegen']",Restores Health on kill or assist
,,,,,
Runaan's Hurricane,"<stats>+40% Attack Speed<br>+25% Critical Strike Chance<br>+7% Movement Speed</stats><br><br><unique>UNIQUE Passive - Wind's Fury:</unique> When basic attacking, bolts are fired at up to 2 enemies near the target, each dealing (40% of Attack Damage) physical damage. Bolts can critically strike and apply on hit effects.","{'FlatCritChanceMod': 0.25, 'PercentMovementSpeedMod': 0.07, 'PercentAttackSpeedMod': 0.4}","{'base': 600, 'purchasable': True, 'total': 2600, 'sell': 1820}","['CriticalStrike', 'AttackSpeed', 'OnHit', 'NonbootsMovement']",Ranged attacks fire two bolts at nearby enemies
,,,,,
Zeal,<stats>+12% Attack Speed<br>+25% Critical Strike Chance</stats><br><br><unique>UNIQUE Passive:</unique> +5% Movement Speed,"{'FlatCritChanceMod': 0.25, 'PercentAttackSpeedMod': 0.12}","{'base': 300, 'purchasable': True, 'total': 1400, 'sell': 980}","['AttackSpeed', 'CriticalStrike', 'NonbootsMovement']","Slight bonuses to Critical Strike Chance, Movement Speed and Attack Speed"
,,,,,
Statikk Shiv,<stats>+40% Attack Speed<br>+25% Critical Strike Chance<br>+5% Movement Speed</stats><br><br><unique>UNIQUE Passive - Energized:</unique> Moving and attacking will make an attack <a href='Energized'>Energized</a>. <br><unique>UNIQUE Passive - Electroshock:</unique> Energized attacks gain <magicDamage>120 bonus magic damage</magicDamage>. Energized effects chain to 7 targets.,"{'FlatCritChanceMod': 0.25, 'PercentMovementSpeedMod': 0.05, 'PercentAttackSpeedMod': 0.4}","{'base': 500, 'purchasable': True, 'total': 2600, 'sell': 1820}","['AttackSpeed', 'CriticalStrike', 'NonbootsMovement', 'OnHit']",Movement builds charges that release chain lightning on basic attack
,,,,,
Rabadon's Deathcap,<stats>+120 Ability Power  </stats><br><br><unique>UNIQUE Passive:</unique> Increases Ability Power by 40%.,{'FlatMagicDamageMod': 120},"{'base': 1100, 'purchasable': True, 'total': 3600, 'sell': 2520}",['SpellDamage'],Massively increases Ability Power
,,,,,
Wit's End,"<stats>+50% Attack Speed<br>+50 Magic Resist<br>+5% Movement Speed</stats><br><br><unique>UNIQUE Passive - At Wit's End:</unique> Deal <scaleLevel>15 - 80</scaleLevel> magic damage on hit. While below half health, heal for 33% of this effect's damage dealt - increased to 100% for Melee Champions.","{'PercentMovementSpeedMod': 0.05, 'FlatSpellBlockMod': 50, 'PercentAttackSpeedMod': 0.5}","{'base': 880, 'purchasable': True, 'total': 2900, 'sell': 2030}","['SpellBlock', 'AttackSpeed', 'LifeSteal', 'NonbootsMovement']",Resist magic damage and claw your way back to life.
,,,,,
Rapid Firecannon,<stats>+30% Attack Speed<br>+25% Critical Strike Chance<br>+5% Movement Speed</stats><br><br><unique>UNIQUE Passive - Energized:</unique> Moving and attacking will make an attack <a href='Energized'>Energized</a>. <br><unique>UNIQUE Passive - Sharpshooter:</unique> Your Energized attacks gain <magicDamage>120 bonus magic damage</magicDamage>. Energized attacks gain 35% bonus range (+150 range maximum).,"{'FlatCritChanceMod': 0.25, 'PercentMovementSpeedMod': 0.05, 'PercentAttackSpeedMod': 0.3}","{'base': 500, 'purchasable': True, 'total': 2600, 'sell': 1820}","['AttackSpeed', 'CriticalStrike', 'NonbootsMovement', 'OnHit']",Movement builds charges that release a sieging fire attack on release
,,,,,
Stormrazor,<stats>+55 Attack Damage<br>+25% Critical Strike Chance<br>+15% Attack Speed</stats><br><br><unique>UNIQUE Passive - Energized:</unique> Moving and attacking will make an attack <a href='Energized'>Energized</a>. <br><unique>UNIQUE Passive - Paralyze:</unique> Your Energized attacks gain <magicDamage>120 bonus magic damage</magicDamage>. Energized effects slow by 75% for 0.5 seconds.,"{'FlatPhysicalDamageMod': 55, 'FlatCritChanceMod': 0.25, 'PercentAttackSpeedMod': 0.15}","{'base': 400, 'purchasable': True, 'total': 3200, 'sell': 2240}","['Damage', 'CriticalStrike', 'AttackSpeed', 'OnHit']",Tremendously empower other Energized effects.
,,,,,
Lich Bane,"<stats>+80 Ability Power<br>+7% Movement Speed<br>+10% Cooldown Reduction<br><mana>+250 Mana</mana></stats><br><br><unique>UNIQUE Passive - Spellblade:</unique> After using an ability, the next basic attack deals 75% Base Attack Damage (+50% of Ability Power) bonus magic damage on hit (1.5 second cooldown).","{'PercentMovementSpeedMod': 0.07, 'FlatMPPoolMod': 250, 'FlatMagicDamageMod': 80}","{'base': 450, 'purchasable': True, 'total': 3200, 'sell': 2240}","['SpellDamage', 'Mana', 'CooldownReduction', 'NonbootsMovement']",Grants a bonus to next attack after spell cast
,,,,,
Stinger,<stats>+35% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> +10% Cooldown Reduction,{'PercentAttackSpeedMod': 0.35},"{'base': 500, 'purchasable': True, 'total': 1100, 'sell': 770}","['AttackSpeed', 'CooldownReduction']",Increased Attack Speed and Cooldown Reduction
,,,,,
Banshee's Veil,<stats>+75 Ability Power<br>+60 Magic Resist<br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Spell Shield:</unique> Grants a spell shield that blocks the next enemy ability. This shield refreshes after no damage is taken from enemy champions for 40 seconds.,"{'FlatSpellBlockMod': 60, 'FlatMagicDamageMod': 75}","{'base': 800, 'purchasable': True, 'total': 3000, 'sell': 2100}","['SpellBlock', 'SpellDamage', 'CooldownReduction']",Periodically blocks enemy abilities
,,,,,
Aegis of the Legion,<stats>+30 Armor<br>+30 Magic Resist</stats>,"{'FlatSpellBlockMod': 30, 'FlatArmorMod': 30}","{'base': 350, 'purchasable': True, 'total': 1100, 'sell': 770}","['SpellBlock', 'Armor']",Grants Armor and Magic Resistance
,,,,,
Redemption,"<stats>+200 Health<br>+50% Base Health Regen <br><mana>+150% Base Mana Regen </mana><br>+10% Cooldown Reduction</stats><br><br><passive>UNIQUE Passive:</passive> +10% Heal and Shield Power<br><active>UNIQUE Active:</active> Target an area within 5500 range. After 2.5 seconds, call down a beam of light to heal allies for 10 (+20 per level of target) Health, burn enemy champions for 10% of their maximum Health as <font color='#FFFFFF'>true</font> damage and deal 250 <font color='#FFFFFF'>true</font> damage to enemy minions (120 second cooldown). Heal and Shield Power is 3 times as effective on Redemption's heal.<br><br>Can be used while dead.<br><br><rules>Half effect if the target has been affected by another Redemption recently.</rules>",{'FlatHPPoolMod': 200},"{'base': 650, 'purchasable': True, 'total': 2100, 'sell': 1470}","['Health', 'HealthRegen', 'ManaRegen', 'CooldownReduction']",Activate to heal allies and damage enemies in an area
,,,,,
Fiendish Codex,<stats>+35 Ability Power</stats><br><br><unique>UNIQUE Passive:</unique> +10% Cooldown Reduction,{'FlatMagicDamageMod': 35},"{'base': 465, 'purchasable': True, 'total': 900, 'sell': 630}","['CooldownReduction', 'SpellDamage']",Increases Ability Power and Cooldown Reduction
,,,,,
Knight's Vow,"<stats>+250 Health<br>+40 Armor<br>+10% Cooldown Reduction</stats><br><br><active>UNIQUE Active:</active> Designate an allied champion as your <a href='KnightsVowPartner'>Partner</a> (90 second cooldown).<br><passive>UNIQUE Passive:</passive> If your <a href='KnightsVowPartner'>Partner</a> is nearby, gain +20 additional Armor and +15% Movement Speed towards them.<br><passive>UNIQUE Passive:</passive> If your <a href='KnightsVowPartner'>Partner</a> is nearby, heal for 12% of the damage your <a href='KnightsVowPartner'>Partner</a> deals to champions and redirect 12% of the damage your <a href='KnightsVowPartner'>Partner</a> takes from champions to you as <font color='#FFFFFF'>true</font> damage (healing and damage redirection are reduced by 50% if you are ranged).<br><br><rules>(Champions can only be linked by one Knight's Vow at a time.)</rules>","{'FlatHPPoolMod': 250, 'FlatArmorMod': 40}","{'base': 600, 'purchasable': True, 'total': 2200, 'sell': 1540}","['Health', 'Armor', 'Aura', 'CooldownReduction', 'NonbootsMovement']",Partner with an ally to protect each other
,,,,,
